Time	Lead I	Lead II	Lead III	aVR	aVL	aVF
1.290000	0.662916	0.280347	-0.382569	-0.544593	0.603611	-0.059018
1.295000	0.631548	0.261781	-0.369767	-0.515763	0.578109	-0.062346
1.300000	0.583806	0.263825	-0.319981	-0.489379	0.521801	-0.032422
1.305000	0.527278	0.291182	-0.236096	-0.472537	0.440734	0.031804
1.310000	0.466903	0.341441	-0.125462	-0.466698	0.342002	0.124696
1.315000	0.405624	0.406944	0.001319	-0.469136	0.233426	0.235710
1.320000	0.345671	0.474683	0.129013	-0.473631	0.125087	0.348544
1.325000	0.287683	0.523863	0.236180	-0.468546	0.029736	0.438811
1.330000	0.230680	0.534759	0.304079	-0.441926	-0.042377	0.484303
1.335000	0.173532	0.497631	0.324099	-0.387496	-0.086930	0.474426
1.340000	0.116356	0.412874	0.296518	-0.305551	-0.104017	0.409568
1.345000	0.059642	0.294531	0.234889	-0.204482	-0.101179	0.305661
1.350000	0.004096	0.166933	0.162836	-0.098743	-0.091649	0.190392
1.355000	-0.049804	0.052003	0.101807	-0.001270	-0.087533	0.088802
1.360000	-0.101312	-0.038624	0.062688	0.080792	-0.094685	0.013894
1.365000	-0.149828	-0.101298	0.048530	0.144988	-0.114522	-0.030466
1.370000	-0.194796	-0.135618	0.059178	0.190764	-0.146632	-0.044132
1.375000	-0.235465	-0.145327	0.090139	0.219850	-0.187988	-0.031863
1.380000	-0.271587	-0.137021	0.134567	0.235910	-0.234493	-0.001417
1.385000	-0.304094	-0.118002	0.186092	0.243697	-0.283009	0.039312
1.390000	-0.333825	-0.096601	0.237224	0.248506	-0.329695	0.081188
1.395000	-0.360553	-0.078557	0.281996	0.253520	-0.370976	0.117455
1.400000	-0.384883	-0.064840	0.320043	0.259647	-0.406989	0.147342
1.405000	-0.407605	-0.054830	0.352775	0.266987	-0.439005	0.172018
1.410000	-0.428622	-0.048726	0.379896	0.275597	-0.466798	0.191201
1.415000	-0.448342	-0.046634	0.401708	0.285775	-0.490776	0.205002
1.420000	-0.468303	-0.047385	0.420918	0.297732	-0.513391	0.215659
1.425000	-0.488710	-0.050239	0.438471	0.311162	-0.535308	0.224146
1.430000	-0.508109	-0.054939	0.453171	0.325076	-0.554995	0.229919
1.435000	-0.524792	-0.060511	0.464280	0.337925	-0.571041	0.233116
1.440000	-0.537684	-0.066872	0.470813	0.349040	-0.582256	0.233215
1.445000	-0.547303	-0.074296	0.473007	0.358880	-0.589076	0.230196
1.450000	-0.555216	-0.081691	0.473524	0.367718	-0.593943	0.226225
1.455000	-0.562190	-0.088598	0.473592	0.375732	-0.598008	0.222276
