Time	Lead I	Lead II	Lead III	aVR	aVL	aVF
1.355000	-0.342919	-0.116817	0.226102	0.265429	-0.328525	0.063096
1.360000	-0.345250	-0.117028	0.228221	0.266896	-0.331094	0.064197
1.365000	-0.338318	-0.114790	0.223528	0.261602	-0.324381	0.062780
1.370000	-0.320211	-0.110118	0.210093	0.248450	-0.306171	0.057721
1.375000	-0.290918	-0.103716	0.187202	0.227842	-0.276043	0.048201
1.380000	-0.253888	-0.096268	0.157620	0.202162	-0.237584	0.035422
1.385000	-0.213599	-0.088208	0.125391	0.174248	-0.195716	0.021467
1.390000	-0.172633	-0.079786	0.092847	0.145734	-0.153275	0.007540
1.395000	-0.131532	-0.070751	0.060781	0.116788	-0.111032	-0.005756
1.400000	-0.090089	-0.060277	0.029812	0.086814	-0.069225	-0.017589
1.405000	-0.048400	-0.048188	0.000212	0.055765	-0.028067	-0.027699
1.410000	-0.006643	-0.035255	-0.028612	0.024190	0.012684	-0.036873
1.415000	0.034131	-0.022593	-0.056724	-0.006662	0.052455	-0.045793
1.420000	0.071821	-0.010738	-0.082559	-0.035266	0.089132	-0.053865
1.425000	0.104813	-0.000456	-0.105268	-0.060251	0.121290	-0.061040
1.430000	0.132284	0.007856	-0.124428	-0.080910	0.148212	-0.067303
1.435000	0.154244	0.014749	-0.139495	-0.097568	0.169590	-0.072022
1.440000	0.171170	0.020226	-0.150944	-0.110503	0.185973	-0.075470
1.445000	0.183540	0.023384	-0.160156	-0.119467	0.198433	-0.078966
1.450000	0.191598	0.024377	-0.167221	-0.124694	0.207164	-0.082471
1.455000	0.195143	0.024223	-0.170920	-0.126651	0.211346	-0.084696
1.460000	0.193587	0.022706	-0.170881	-0.124877	0.210426	-0.085549
1.465000	0.185372	0.019201	-0.166172	-0.118110	0.202964	-0.084854
1.470000	0.168517	0.014074	-0.154443	-0.105419	0.186461	-0.081042
1.475000	0.141095	0.007139	-0.133956	-0.085583	0.158800	-0.073218
1.480000	0.102191	-0.002569	-0.104760	-0.057517	0.119483	-0.061967
1.485000	0.052559	-0.014898	-0.067457	-0.021744	0.069291	-0.047547
1.490000	-0.005053	-0.029792	-0.024738	0.020118	0.011365	-0.031483
1.495000	-0.066076	-0.046648	0.019428	0.065081	-0.049366	-0.015715
1.500000	-0.126541	-0.063598	0.062943	0.109777	-0.109399	-0.000378
1.505000	-0.185187	-0.079284	0.105902	0.152692	-0.168060	0.015368
1.510000	-0.240927	-0.093744	0.147184	0.193222	-0.224076	0.030853
1.515000	-0.291082	-0.106285	0.184798	0.229420	-0.274749	0.045330
1.520000	-0.332153	-0.115925	0.216228	0.258697	-0.316608	0.057910
1.525000	-0.361241	-0.123019	0.238222	0.279587	-0.346100	0.066513
1.530000	-0.377736	-0.128500	0.249236	0.292275	-0.361982	0.069707
1.535000	-0.383346	-0.131742	0.251604	0.297386	-0.366588	0.069202
1.540000	-0.380672	-0.132197	0.248475	0.296105	-0.363239	0.067133
1.545000	-0.371912	-0.130531	0.241380	0.290085	-0.354084	0.063999
1.550000	-0.358001	-0.127213	0.230788	0.280138	-0.339937	0.059799
1.555000	-0.337334	-0.122209	0.215126	0.265317	-0.318963	0.053646
1.560000	-0.307664	-0.115436	0.192228	0.244276	-0.288612	0.044336
1.565000	-0.269902	-0.106614	0.163288	0.217382	-0.250102	0.032720
1.570000	-0.226897	-0.095364	0.131533	0.186057	-0.206939	0.020882
1.575000	-0.180836	-0.082357	0.098479	0.151954	-0.161263	0.009308
1.580000	-0.132876	-0.068016	0.064860	0.115985	-0.114162	-0.001823
1.585000	-0.083624	-0.052088	0.031536	0.078353	-0.066488	-0.011866
1.590000	-0.032743	-0.034651	-0.001907	0.038910	-0.017803	-0.021107
1.595000	0.019998	-0.016882	-0.036880	-0.001799	0.032838	-0.031040
