Time,Healthy,Osteoarthritic
3415,-0.3968,-0.614
3420,-0.3968,-0.614
3425,-0.3968,-0.614
3430,-0.3972,-0.615
3435,-0.3976,-0.614
3440,-0.3976,-0.615
3445,-0.3976,-0.615
3450,-0.3976,-0.616
3455,-0.398,-0.616
3460,-0.398,-0.616
3465,-0.398,-0.616
3470,-0.398,-0.617
3475,-0.398,-0.616
3480,-0.398,-0.617
3485,-0.398,-0.616
3490,-0.3984,-0.617
3495,-0.3988,-0.617
3500,-0.3984,-0.617
3505,-0.3988,-0.618
3510,-0.3988,-0.618
3515,-0.3988,-0.617
3520,-0.3988,-0.618
3525,-0.3988,-0.619
3530,-0.3988,-0.619
3535,-0.3992,-0.619
3540,-0.3988,-0.619
3545,-0.3992,-0.619
3550,-0.3996,-0.619
3555,-0.3992,-0.62
3560,-0.3996,-0.62
3565,-0.4,-0.62
3570,-0.3996,-0.621
3575,-0.3996,-0.621
3580,-0.4,-0.621
3585,-0.4,-0.621
3590,-0.4,-0.622
3595,-0.4004,-0.622
3600,-0.4,-0.622
3605,-0.4004,-0.622
3610,-0.4004,-0.622
3615,-0.4004,-0.622
3620,-0.4008,-0.623
3625,-0.4008,-0.622
3630,-0.4004,-0.623
3635,-0.4008,-0.623
3640,-0.4008,-0.623
3645,-0.4012,-0.624
3650,-0.4012,-0.623
3655,-0.4012,-0.624
3660,-0.4016,-0.624
3665,-0.4012,-0.624
3670,-0.4012,-0.625
3675,-0.4016,-0.625
3680,-0.4016,-0.626
3685,-0.4016,-0.626
3690,-0.4016,-0.626
3695,-0.402,-0.625
3700,-0.402,-0.625
3705,-0.4024,-0.626
3710,-0.402,-0.626
3715,-0.4024,-0.626
3720,-0.4024,-0.626
3725,-0.4024,-0.627
3730,-0.4024,-0.627
3735,-0.4024,-0.627
3740,-0.4028,-0.628
3745,-0.4028,-0.628
3750,-0.4028,-0.628
3755,-0.4032,-0.628
3760,-0.4032,-0.628
3765,-0.4032,-0.628
3770,-0.4032,-0.629
3775,-0.4036,-0.629
3780,-0.404,-0.63
3785,-0.4036,-0.629
3790,-0.4036,-0.63
3795,-0.404,-0.63
3800,-0.4036,-0.63
3805,-0.404,-0.63
3810,-0.4036,-0.63
3815,-0.4036,-0.63
3820,-0.4036,-0.63
3825,-0.404,-0.631
3830,-0.4044,-0.631
3835,-0.4048,-0.631
3840,-0.4044,-0.631
3845,-0.4044,-0.632
3850,-0.4048,-0.632
3855,-0.4044,-0.632
3860,-0.4044,-0.632
3865,-0.4048,-0.633
3870,-0.4048,-0.632
3875,-0.4052,-0.632
3880,-0.4048,-0.633
3885,-0.4048,-0.632
3890,-0.4048,-0.633
3895,-0.4052,-0.633
3900,-0.4048,-0.634
3905,-0.4052,-0.633
3910,-0.4056,-0.633
3915,-0.4052,-0.634
3920,-0.4056,-0.634
3925,-0.4052,-0.634
3930,-0.406,-0.635
3935,-0.406,-0.635
3940,-0.406,-0.634
3945,-0.406,-0.635
3950,-0.406,-0.635
3955,-0.406,-0.636
3960,-0.4064,-0.636
3965,-0.406,-0.636
3970,-0.4064,-0.636
3975,-0.4068,-0.636
3980,-0.4068,-0.636
3985,-0.4064,-0.637
3990,-0.4068,-0.637
3995,-0.4068,-0.637
4000,-0.4068,-0.637
4005,-0.4064,-0.638
4010,-0.4068,-0.637
4015,-0.4072,-0.638
4020,-0.4072,-0.638
4025,-0.4072,-0.637
4030,-0.4072,-0.639
4035,-0.4072,-0.639
4040,-0.4072,-0.639
4045,-0.4072,-0.639
4050,-0.4076,-0.638
4055,-0.4076,-0.639
4060,-0.4076,-0.64
4065,-0.4076,-0.639
4070,-0.4076,-0.64
4075,-0.408,-0.64
4080,-0.408,-0.64
4085,-0.408,-0.639
4090,-0.408,-0.64
4095,-0.408,-0.641
4100,-0.4084,-0.641
4105,-0.408,-0.641
4110,-0.408,-0.641
4115,-0.4084,-0.642
4120,-0.408,-0.642
4125,-0.408,-0.643
4130,-0.408,-0.642
4135,-0.4084,-0.642
4140,-0.4084,-0.642
4145,-0.4088,-0.643
4150,-0.4088,-0.642
4155,-0.4088,-0.643
4160,-0.4088,-0.643
4165,-0.4092,-0.643
4170,-0.4092,-0.644
4175,-0.4088,-0.644
4180,-0.4092,-0.644
4185,-0.4092,-0.644
4190,-0.4092,-0.644
4195,-0.4092,-0.645
4200,-0.4092,-0.644
4205,-0.4096,-0.645
4210,-0.4096,-0.645
4215,-0.4096,-0.645
4220,-0.4096,-0.645
4225,-0.4096,-0.646
4230,-0.4096,-0.645
4235,-0.41,-0.645
